Специальность|key_skills|skills
.NET Developer|[' C#', ' ASP.NET', ' .NET Framework', 'C#', ' JavaScript']|[' C#', ' ASP.NET', ' .NET Framework', 'C#', ' JavaScript']
2D-художник|['Adobe Photoshop', ' Рисунок', ' Графический дизайн', ' Дизайн', ' Adobe Illustrator']|['Adobe Photoshop', ' Рисунок', ' Графический дизайн', ' Дизайн', ' Adobe Illustrator']
3D-дизайнер|[' 3D Моделирование', ' Adobe Photoshop', ' 3ds Max', ' 3D-графика', ' CorelDRAW']|[' 3D Моделирование', ' Adobe Photoshop', ' 3ds Max', ' 3D-графика', ' CorelDRAW']
Android разработчик|[' Java', ' Android SDK', 'Android', ' Android', ' Kotlin']|[' Java', ' Android SDK', 'Android', ' Android', ' Kotlin']
Backend-разработчик|[' Git', ' MySQL', ' PHP', ' PostgreSQL', ' SQL']|[' Git', ' MySQL', ' PHP', ' PostgreSQL', ' SQL']
Business Analyst|[' Бизнес-анализ', 'Business Analysis', ' Business Analysis', ' Scrum', ' UML']|[' Бизнес-анализ', 'Business Analysis', ' Business Analysis', ' Scrum', ' UML']
Copywriter|[' Английский язык', ' Написание текстов', ' Копирайтинг', 'Копирайтинг', ' Написание статей']|[' Английский язык', ' Написание текстов', ' Копирайтинг', 'Копирайтинг', ' Написание статей']
Data Scientist|[' SQL', 'Python', ' Python', ' Data Mining', ' Big Data']|[' SQL', 'Python', ' Python', ' Data Mining', ' Big Data']
DevOps Engineer|[' Linux', ' Docker', ' Bash', ' Python', 'Linux']|[' Linux', ' Docker', ' Bash', ' Python', 'Linux']
DevOps-инженер|[' Linux', ' Docker', 'Linux', ' Bash', ' Nginx']|[' Linux', ' Docker', 'Linux', ' Bash', ' Nginx']
Digital Marketing Manager|[' Internet Marketing', ' Интернет-реклама', ' Google Analytics', ' Google AdWords', ' Маркетинговый анализ']|[' Internet Marketing', ' Интернет-реклама', ' Google Analytics', ' Google AdWords', ' Маркетинговый анализ']
E-mail маркетолог|[' E-Mail Marketing', ' Internet Marketing', 'E-Mail Marketing', ' Google Analytics', ' HTML']|[' E-Mail Marketing', ' Internet Marketing', 'E-Mail Marketing', ' Google Analytics', ' HTML']
Frontend-разработчик|[' JavaScript', ' CSS', 'JavaScript', ' Git', ' HTML']|[' JavaScript', ' CSS', 'JavaScript', ' Git', ' HTML']
Full-stack разработчик|[' JavaScript', ' Git', ' CSS', ' MySQL', ' PHP']|[' JavaScript', ' Git', ' CSS', ' MySQL', ' PHP']
Game Designer|[' Game Design', ' Разработка компьютерных Игр', ' Работа в команде', ' gamedev', ' Управление проектами']|[' Game Design', ' Разработка компьютерных Игр', ' Работа в команде', ' gamedev', ' Управление проектами']
Golang разработчик|['Golang', ' Redis', ' Golang', ' PostgreSQL', ' Git']|['Golang', ' Redis', ' Golang', ' PostgreSQL', ' Git']
IOS разработчик|['iOS', ' iOS', ' Objective-C', ' Swift', ' Git']|['iOS', ' iOS', ' Objective-C', ' Swift', ' Git']
IT рекрутер|[' Подбор персонала', 'Подбор персонала', 'IT Recruitment', ' IT Recruitment', ' Рекрутмент']|[' Подбор персонала', 'Подбор персонала', 'IT Recruitment', ' IT Recruitment', ' Рекрутмент']
Java разработчик|['Java', ' Spring Framework', ' SQL', ' Git', ' Java']|['Java', ' Spring Framework', ' SQL', ' Git', ' Java']
Java-разработчик|['Java', ' Spring Framework', ' SQL', ' Java', ' Git']|['Java', ' Spring Framework', ' SQL', ' Java', ' Git']
JavaScript Developer|['JavaScript', ' Git', ' JavaScript', ' HTML', ' HTML5']|['JavaScript', ' Git', ' JavaScript', ' HTML', ' HTML5']
Junior Project Manager|[' Управление проектами', ' Работа в команде', ' Английский язык', ' Project management', ' Организаторские навыки']|[' Управление проектами', ' Работа в команде', ' Английский язык', ' Project management', ' Организаторские навыки']
Motion Designer|[' Adobe Photoshop', 'Adobe After Effect', ' Adobe Illustrator', ' Adobe After Effect', ' Adobe Premier Pro']|[' Adobe Photoshop', 'Adobe After Effect', ' Adobe Illustrator', ' Adobe After Effect', ' Adobe Premier Pro']
PHP-разработчик|[' MySQL', 'PHP', ' JavaScript', ' Git', ' PHP']|[' MySQL', 'PHP', ' JavaScript', ' Git', ' PHP']
PR-менеджер|[' Написание текстов', 'PR', ' Анализ PR стратегии конкурентов', ' PR', ' Организация пресс-конференций']|[' Написание текстов', 'PR', ' Анализ PR стратегии конкурентов', ' PR', ' Организация пресс-конференций']
Product Owner|[' Управление проектами', ' Английский язык', ' Agile Project Management', ' Scrum', ' Управление продуктом']|[' Управление проектами', ' Английский язык', ' Agile Project Management', ' Scrum', ' Управление продуктом']
Product manager|[' Управление проектами', ' Управление продуктом', ' Работа в команде', ' Ведение переговоров', ' Scrum']|[' Управление проектами', ' Управление продуктом', ' Работа в команде', ' Ведение переговоров', ' Scrum']
Python-разработчик|['Python', ' Django Framework', ' PostgreSQL', ' Linux', ' Git']|['Python', ' Django Framework', ' PostgreSQL', ' Linux', ' Git']
React Native Developer|[' JavaScript', 'React Native', ' Android', ' React Native', ' iOS']|[' JavaScript', 'React Native', ' Android', ' React Native', ' iOS']
